name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink 
SR 12 AB c,366,13 Jupiters,13.355,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7141/sr-12-ab-c/
SWEEPS-11 b,27727,9.7 Jupiters,19.83,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5054/sweeps-11-b/
SWEEPS-4 b,27727,3.8 Jupiters,18.8,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5053/sweeps-4-b/
TAP 26 b,396,1.66 Jupiters,12.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7204/tap-26-b/
Tau Bootis b,51,5.95 Jupiters,4.48635,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7055/tau-bootis-b/
Tau Ceti e,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7179/tau-ceti-e/
Tau Ceti f,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7180/tau-ceti-f/
Tau Ceti g,12,1.75 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7177/tau-ceti-g/
Tau Ceti h,12,1.83 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7178/tau-ceti-h/
Tau Geminorum b,367,20.6 Jupiters,4.37799,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7056/tau-geminorum-b/
TCP J05074264+2447555 b,1647,20 Earths,14.243,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7336/tcp-j050742642447555-b/
Teegarden's Star b,12,1.05 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7423/teegardens-star-b/
Teegarden's Star c,12,1.11 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7424/teegardens-star-c/
TIC 172900988 b,819,2.96386 Jupiters,10.141,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7989/tic-172900988-b/
TIC 237913194 b,998,1.942 Jupiters,12.144,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7785/tic-237913194-b/
TIC 257060897 b,1650,0.67 Jupiters,11.814,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8001/tic-257060897-b/
TOI-1062 b,268,10.15 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7929/toi-1062-b/
TOI-1062 c,268,9.78 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7930/toi-1062-c/
TOI-1064 b,222,13.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8382/toi-1064-b/
TOI-1064 c,222,2.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8383/toi-1064-c/
TOI-1075 b,200,3.61 Earths,12.615,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8396/toi-1075-b/
TOI-1130 b,190,12.9 Earths,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7606/toi-1130-b/
TOI-1130 c,190,0.974 Jupiters,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7607/toi-1130-c/
TOI-1201 b,124,6.28 Earths,12.26,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7997/toi-1201-b/
TOI-1227 b,328,0.209 Jupiters,16.999,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8483/toi-1227-b/
SR 12 AB c,366,13 Jupiters,13.355,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7141/sr-12-ab-c/
SWEEPS-11 b,27727,9.7 Jupiters,19.83,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5054/sweeps-11-b/
SWEEPS-4 b,27727,3.8 Jupiters,18.8,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5053/sweeps-4-b/
TAP 26 b,396,1.66 Jupiters,12.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7204/tap-26-b/
Tau Bootis b,51,5.95 Jupiters,4.48635,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7055/tau-bootis-b/
Tau Ceti e,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7179/tau-ceti-e/
Tau Ceti f,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7180/tau-ceti-f/
Tau Ceti g,12,1.75 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7177/tau-ceti-g/
Tau Ceti h,12,1.83 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7178/tau-ceti-h/
Tau Geminorum b,367,20.6 Jupiters,4.37799,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7056/tau-geminorum-b/
TCP J05074264+2447555 b,1647,20 Earths,14.243,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7336/tcp-j050742642447555-b/
Teegarden's Star b,12,1.05 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7423/teegardens-star-b/
Teegarden's Star c,12,1.11 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7424/teegardens-star-c/
TIC 172900988 b,819,2.96386 Jupiters,10.141,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7989/tic-172900988-b/
TIC 237913194 b,998,1.942 Jupiters,12.144,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7785/tic-237913194-b/
TIC 257060897 b,1650,0.67 Jupiters,11.814,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8001/tic-257060897-b/
TOI-1062 b,268,10.15 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7929/toi-1062-b/
TOI-1062 c,268,9.78 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7930/toi-1062-c/
TOI-1064 b,222,13.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8382/toi-1064-b/
TOI-1064 c,222,2.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8383/toi-1064-c/
TOI-1075 b,200,3.61 Earths,12.615,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8396/toi-1075-b/
TOI-1130 b,190,12.9 Earths,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7606/toi-1130-b/
TOI-1130 c,190,0.974 Jupiters,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7607/toi-1130-c/
TOI-1201 b,124,6.28 Earths,12.26,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7997/toi-1201-b/
TOI-1227 b,328,0.209 Jupiters,16.999,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8483/toi-1227-b/
SR 12 AB c,366,13 Jupiters,13.355,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7141/sr-12-ab-c/
SWEEPS-11 b,27727,9.7 Jupiters,19.83,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5054/sweeps-11-b/
SWEEPS-4 b,27727,3.8 Jupiters,18.8,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5053/sweeps-4-b/
TAP 26 b,396,1.66 Jupiters,12.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7204/tap-26-b/
Tau Bootis b,51,5.95 Jupiters,4.48635,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7055/tau-bootis-b/
Tau Ceti e,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7179/tau-ceti-e/
Tau Ceti f,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7180/tau-ceti-f/
Tau Ceti g,12,1.75 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7177/tau-ceti-g/
Tau Ceti h,12,1.83 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7178/tau-ceti-h/
Tau Geminorum b,367,20.6 Jupiters,4.37799,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7056/tau-geminorum-b/
TCP J05074264+2447555 b,1647,20 Earths,14.243,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7336/tcp-j050742642447555-b/
Teegarden's Star b,12,1.05 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7423/teegardens-star-b/
Teegarden's Star c,12,1.11 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7424/teegardens-star-c/
TIC 172900988 b,819,2.96386 Jupiters,10.141,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7989/tic-172900988-b/
TIC 237913194 b,998,1.942 Jupiters,12.144,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7785/tic-237913194-b/
TIC 257060897 b,1650,0.67 Jupiters,11.814,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8001/tic-257060897-b/
TOI-1062 b,268,10.15 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7929/toi-1062-b/
TOI-1062 c,268,9.78 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7930/toi-1062-c/
TOI-1064 b,222,13.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8382/toi-1064-b/
TOI-1064 c,222,2.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8383/toi-1064-c/
TOI-1075 b,200,3.61 Earths,12.615,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8396/toi-1075-b/
TOI-1130 b,190,12.9 Earths,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7606/toi-1130-b/
TOI-1130 c,190,0.974 Jupiters,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7607/toi-1130-c/
TOI-1201 b,124,6.28 Earths,12.26,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7997/toi-1201-b/
TOI-1227 b,328,0.209 Jupiters,16.999,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8483/toi-1227-b/
SR 12 AB c,366,13 Jupiters,13.355,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7141/sr-12-ab-c/
SWEEPS-11 b,27727,9.7 Jupiters,19.83,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5054/sweeps-11-b/
SWEEPS-4 b,27727,3.8 Jupiters,18.8,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5053/sweeps-4-b/
TAP 26 b,396,1.66 Jupiters,12.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7204/tap-26-b/
Tau Bootis b,51,5.95 Jupiters,4.48635,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7055/tau-bootis-b/
Tau Ceti e,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7179/tau-ceti-e/
Tau Ceti f,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7180/tau-ceti-f/
Tau Ceti g,12,1.75 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7177/tau-ceti-g/
Tau Ceti h,12,1.83 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7178/tau-ceti-h/
Tau Geminorum b,367,20.6 Jupiters,4.37799,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7056/tau-geminorum-b/
TCP J05074264+2447555 b,1647,20 Earths,14.243,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7336/tcp-j050742642447555-b/
Teegarden's Star b,12,1.05 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7423/teegardens-star-b/
Teegarden's Star c,12,1.11 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7424/teegardens-star-c/
TIC 172900988 b,819,2.96386 Jupiters,10.141,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7989/tic-172900988-b/
TIC 237913194 b,998,1.942 Jupiters,12.144,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7785/tic-237913194-b/
TIC 257060897 b,1650,0.67 Jupiters,11.814,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8001/tic-257060897-b/
TOI-1062 b,268,10.15 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7929/toi-1062-b/
TOI-1062 c,268,9.78 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7930/toi-1062-c/
TOI-1064 b,222,13.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8382/toi-1064-b/
TOI-1064 c,222,2.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8383/toi-1064-c/
TOI-1075 b,200,3.61 Earths,12.615,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8396/toi-1075-b/
TOI-1130 b,190,12.9 Earths,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7606/toi-1130-b/
TOI-1130 c,190,0.974 Jupiters,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7607/toi-1130-c/
TOI-1201 b,124,6.28 Earths,12.26,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7997/toi-1201-b/
TOI-1227 b,328,0.209 Jupiters,16.999,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8483/toi-1227-b/
SR 12 AB c,366,13 Jupiters,13.355,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7141/sr-12-ab-c/
SWEEPS-11 b,27727,9.7 Jupiters,19.83,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5054/sweeps-11-b/
SWEEPS-4 b,27727,3.8 Jupiters,18.8,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5053/sweeps-4-b/
TAP 26 b,396,1.66 Jupiters,12.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7204/tap-26-b/
Tau Bootis b,51,5.95 Jupiters,4.48635,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7055/tau-bootis-b/
Tau Ceti e,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7179/tau-ceti-e/
Tau Ceti f,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7180/tau-ceti-f/
Tau Ceti g,12,1.75 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7177/tau-ceti-g/
Tau Ceti h,12,1.83 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7178/tau-ceti-h/
Tau Geminorum b,367,20.6 Jupiters,4.37799,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7056/tau-geminorum-b/
TCP J05074264+2447555 b,1647,20 Earths,14.243,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7336/tcp-j050742642447555-b/
Teegarden's Star b,12,1.05 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7423/teegardens-star-b/
Teegarden's Star c,12,1.11 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7424/teegardens-star-c/
TIC 172900988 b,819,2.96386 Jupiters,10.141,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7989/tic-172900988-b/
TIC 237913194 b,998,1.942 Jupiters,12.144,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7785/tic-237913194-b/
TIC 257060897 b,1650,0.67 Jupiters,11.814,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8001/tic-257060897-b/
TOI-1062 b,268,10.15 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7929/toi-1062-b/
TOI-1062 c,268,9.78 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7930/toi-1062-c/
TOI-1064 b,222,13.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8382/toi-1064-b/
TOI-1064 c,222,2.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8383/toi-1064-c/
TOI-1075 b,200,3.61 Earths,12.615,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8396/toi-1075-b/
TOI-1130 b,190,12.9 Earths,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7606/toi-1130-b/
TOI-1130 c,190,0.974 Jupiters,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7607/toi-1130-c/
TOI-1201 b,124,6.28 Earths,12.26,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7997/toi-1201-b/
TOI-1227 b,328,0.209 Jupiters,16.999,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8483/toi-1227-b/
SR 12 AB c,366,13 Jupiters,13.355,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7141/sr-12-ab-c/
SWEEPS-11 b,27727,9.7 Jupiters,19.83,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5054/sweeps-11-b/
SWEEPS-4 b,27727,3.8 Jupiters,18.8,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5053/sweeps-4-b/
TAP 26 b,396,1.66 Jupiters,12.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7204/tap-26-b/
Tau Bootis b,51,5.95 Jupiters,4.48635,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7055/tau-bootis-b/
Tau Ceti e,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7179/tau-ceti-e/
Tau Ceti f,12,3.93 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7180/tau-ceti-f/
Tau Ceti g,12,1.75 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7177/tau-ceti-g/
Tau Ceti h,12,1.83 Earths,3.49607,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7178/tau-ceti-h/
Tau Geminorum b,367,20.6 Jupiters,4.37799,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7056/tau-geminorum-b/
TCP J05074264+2447555 b,1647,20 Earths,14.243,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7336/tcp-j050742642447555-b/
Teegarden's Star b,12,1.05 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7423/teegardens-star-b/
Teegarden's Star c,12,1.11 Earths,15.13,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7424/teegardens-star-c/
TIC 172900988 b,819,2.96386 Jupiters,10.141,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7989/tic-172900988-b/
TIC 237913194 b,998,1.942 Jupiters,12.144,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7785/tic-237913194-b/
TIC 257060897 b,1650,0.67 Jupiters,11.814,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8001/tic-257060897-b/
TOI-1062 b,268,10.15 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7929/toi-1062-b/
TOI-1062 c,268,9.78 Earths,10.249,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7930/toi-1062-c/
TOI-1064 b,222,13.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8382/toi-1064-b/
TOI-1064 c,222,2.5 Earths,10.938,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8383/toi-1064-c/
TOI-1075 b,200,3.61 Earths,12.615,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8396/toi-1075-b/
TOI-1130 b,190,12.9 Earths,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7606/toi-1130-b/
TOI-1130 c,190,0.974 Jupiters,11.595,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7607/toi-1130-c/
TOI-1201 b,124,6.28 Earths,12.26,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7997/toi-1201-b/
TOI-1227 b,328,0.209 Jupiters,16.999,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8483/toi-1227-b/
TOI-122 b,203,7.85 Earths,15.526,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7789/toi-122-b/
TOI-1231 b,90,15.4 Earths,12.36,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7864/toi-1231-b/
TOI-1235 b,129,5.9 Earths,11.495,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7630/toi-1235-b/
TOI-1246 b,553,8.1 Earths,11.632,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8492/toi-1246-b/
TOI-1246 c,553,8.8 Earths,11.632,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8493/toi-1246-c/
TOI-1246 d,553,5.3 Earths,11.632,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8494/toi-1246-d/
TOI-1246 e,553,14.8 Earths,11.632,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8495/toi-1246-e/
TOI-1259 A b,385,0.441 Jupiters,12.079,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7907/toi-1259-a-b/
TOI-125 b,362,9.5 Earths,11.023,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7563/toi-125-b/
TOI-125 c,362,6.63 Earths,11.023,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7565/toi-125-c/
TOI-125 d,362,13.6 Earths,11.023,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7587/toi-125-d/
TOI-1260 b,240,8.6 Earths,11.922,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7900/toi-1260-b/
TOI-1260 c,240,11.8 Earths,11.922,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7901/toi-1260-c/
TOI-1266 b,117,13.5 Earths,12.941,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7755/toi-1266-b/
TOI-1266 c,117,2.2 Earths,12.941,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7756/toi-1266-c/
TOI-1268 b,357,0.30331 Jupiters,10.92,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8388/toi-1268-b/
TOI-1278 b,247,18.5 Jupiters,13.502,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7931/toi-1278-b/
TOI-1296 b,1054,0.298 Jupiters,11.37,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8006/toi-1296-b/
TOI-1298 b,1041,0.356 Jupiters,11.889,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8007/toi-1298-b/
TOI-132 b,534,22.4 Earths,11.197,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7599/toi-132-b/
TOI-1333 b,654,2.37 Jupiters,9.438,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7835/toi-1333-b/
TOI-1338 b,1302,33 Earths,11.722,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7626/toi-1338-b/
TOI-1411 b,106,2.42 Earths,10.51,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8397/toi-1411-b/
TOI-1431 b,486,3.12 Jupiters,8.03,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8002/toi-1431-b/
TOI-1442 b,134,1.71 Earths,15.39,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8398/toi-1442-b/
TOI-1444 b,409,3.87 Earths,10.936,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7865/toi-1444-b/
TOI-1444 c,409,11.8 Earths,10.936,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7872/toi-1444-c/
TOI-1478 b,499,0.851 Jupiters,10.723,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7836/toi-1478-b/
TOI-150.01,1097,2.51 Jupiters,11.39,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7579/toi-15001/
TOI-1518 b,737,2.3 Jupiters,8.952,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7988/toi-1518-b/
TOI-157 b,1160,1.18 Jupiters,12.725,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7662/toi-157-b/
TOI-1601 b,1098,0.99 Jupiters,10.66,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7837/toi-1601-b/
TOI-1634 b,115,4.91 Earths,13.217,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7902/toi-1634-b/
TOI-163 b,1343,1.22 Jupiters,11.467,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7561/toi-163-b/
TOI-1670 b,548,0.13 Jupiters,9.889,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8467/toi-1670-b/
TOI-1670 c,548,0.63 Jupiters,9.889,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8468/toi-1670-c/
TOI-1685 b,123,3.78 Earths,13.378,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7899/toi-1685-b/
TOI-1693 b,100,2.57 Earths,12.962,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8399/toi-1693-b/
TOI-169 b,1330,0.791 Jupiters,12.355,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7663/toi-169-b/
TOI-1728 b,198,26.78 Earths,12.39,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7646/toi-1728-b/
TOI-172 b,1118,5.42 Jupiters,11.299,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7559/toi-172-b/
TOI-1749 b,325,0.17934 Jupiters,13.86,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7919/toi-1749-b/
TOI-1749 c,325,14 Earths,13.86,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7920/toi-1749-c/
TOI-1749 d,325,15 Earths,13.86,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7921/toi-1749-d/
TOI-1759 b,131,10.8 Earths,11.93,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8409/toi-1759-b/
TOI-1789 b,747,0.7 Jupiters,9.721,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8005/toi-1789-b/
TOI-178 b,205,1.5 Earths,11.955,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7816/toi-178-b/
TOI-178 c,205,4.77 Earths,11.955,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7817/toi-178-c/
TOI-178 d,205,3.01 Earths,11.955,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7818/toi-178-d/
TOI-178 e,205,3.86 Earths,11.955,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7819/toi-178-e/
TOI-1444 b,409,3.87 Earths,10.936,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7865/toi-1444-b/
TOI-1444 c,409,11.8 Earths,10.936,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7872/toi-1444-c/
TOI-1478 b,499,0.851 Jupiters,10.723,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7836/toi-1478-b/
TOI-150.01,1097,2.51 Jupiters,11.39,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7579/toi-15001/
TOI-1518 b,737,2.3 Jupiters,8.952,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7988/toi-1518-b/
TOI-157 b,1160,1.18 Jupiters,12.725,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7662/toi-157-b/
TOI-1601 b,1098,0.99 Jupiters,10.66,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7837/toi-1601-b/
TOI-1634 b,115,4.91 Earths,13.217,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7902/toi-1634-b/
TOI-163 b,1343,1.22 Jupiters,11.467,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7561/toi-163-b/
TOI-1670 b,548,0.13 Jupiters,9.889,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8467/toi-1670-b/
TOI-1670 c,548,0.63 Jupiters,9.889,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8468/toi-1670-c/
TOI-1685 b,123,3.78 Earths,13.378,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7899/toi-1685-b/
TOI-1693 b,100,2.57 Earths,12.962,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8399/toi-1693-b/
TOI-169 b,1330,0.791 Jupiters,12.355,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7663/toi-169-b/
TOI-1728 b,198,26.78 Earths,12.39,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7646/toi-1728-b/
